host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata
YWHAG	hpi_phipster	False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO	False	True	na	na	na	na	source:hpi
YWHAQ	hpi_phipster	False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO	False	True	na	na	na	na	source:hpi
YWHAZ	hpi_phipster	False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO	False	True	na	na	na	na	source:hpi
ANO9	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
LILRA5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
A2ML1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CD300LB	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
TARM1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
HAS3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PLXNC1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL18RAP	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IGKV3-20	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IGHA2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
HLA-DQB2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP1B2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP2B4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CEACAM8	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL12RB1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
KIR3DL2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP4B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL1RL1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SIGLEC14	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ITGAD	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL18R1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL11RA	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ICAM4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CNGA2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ANO4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
LRIT3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CD300E	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNTL6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
NCR3LG1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNT17	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
REEP3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC30A6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNT18	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC27A1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
LILRA6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
MPZL3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
VSTM1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CD300LG	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL20RB	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UNC5D	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UNC5A	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PPP1R3F	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC25A26	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ANO5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CACNA2D4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
P4HA3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNTL5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
MDGA2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
BTLA	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNT5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
RAB43	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
JAML	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
TREML1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IFNLR1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNT13	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CNGA4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SCN4B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
OSCAR	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
HS3ST5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
LARGE2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNT16	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC44A3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GBGT1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SYT8	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
NFAM1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
B4GALNT2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL31RA	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PHOSPHO1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
DSCAML1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
HAVCR2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CD300LF	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
FCAMR	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SORCS1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
FCGR1B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PTPRU	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
IL22RA2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLAMF6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
HS6ST2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SIGLEC12	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SIGLEC11	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
DHRS9	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC30A2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC25A2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ANO3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
OSBPL5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC25A18	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ANO8	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ROBO2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PLXNA4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GP6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GALNT9	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SEMA4B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
B3GAT2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SCN3B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SEMA5B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UNC79	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PILRA	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ITGA11	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CLTRN	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CD8A	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
LILRB2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC30A7	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
RAP1GDS1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ACE2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UBQLN2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
REEP6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
AP3B1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PKP2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ALG11	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
REEP5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PRIM2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UBD	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
FAM8A1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
TIMM9	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PGP	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GGCX	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
MOV10	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
INTS4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UBC	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
AMMECR1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC27A2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
POLA1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC25A21	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PMPCA	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
VCAM1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SNIP1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UBB	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
AASS	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CSNK2A2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ISG15	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC30A9	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
RBM28	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PITRM1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GIGYF2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
EP300	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
FN3KRP	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP13A3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
MAP4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PELO	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ANO6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
RAD23B	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
NEDD8	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
TUBGCP2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
BRD4	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
FKBP15	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
INTS6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
HDAC2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ZDHHC5	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
NUB1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
BZW2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP1B1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
DIAPH3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CBR1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PSMD3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
UBA52	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
TRMT1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
NUP155	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
BAG6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP6V1A	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
LUC7L	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
PCCA	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
ATP6AP1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
SLC44A2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
CPSF6	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
GOLGA7	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
TUBGCP3	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na
