uniprot	gene
P63211	GNGT1
Q9NWV4	CZIB
Q8IUI4	SNX29P2
Q9BTV6	DPH7
Q9BXU1	STK31
Q9BYJ4	TRIM34
P24863	CCNC
P02749	APOH
P39877	PLA2G5
Q96MK2	RIPOR3
Q9Y219	JAG2
M5A8F1	ERVH48-1
O00425	IGF2BP3
Q8TAU3	ZNF417
Q8NFR3	SPTSSB
Q96AN5	TMEM143
Q7RTP0	NIPA1
Q02383	SEMG2
Q8IZP1	TBC1D3
P46060	RANGAP1
Q8TB92	HMGCLL1
P58872	RHBDL3
O43278	SPINT1
P31513	FMO3
Q9NZC9	SMARCAL1
Q9BZP3	LINC00470
Q8NGQ1	OR9G4
Q9H3M9	ATXN3L
Q8NAA5	LRRC75A
Q5SR53	PIK3CD-AS1
P08240	SRPRA
Q658L1	SAXO2
Q96PX1	RNF157
Q8N4S9	MARVELD2
P24539	ATP5PB
O15444	CCL25
Q9NWU5	MRPL22
O75436	VPS26A
Q8N4T8	CBR4
O75493	CA11
Q9C0B5	ZDHHC5
Q9NZM4	BICRA
P30414	NKTR
P84090	ERH
Q8WXH2	JPH3
Q9Y240	CLEC11A
Q969X2	ST6GALNAC6
P42684	ABL2
P58550	FXYD6P3
Q6P0A1	FAM180B
Q9UBR4	LHX3
Q96DC8	ECHDC3
P07205	PGK2
A7XYQ1	SOBP
P42357	HAL
P01767	IGHV3-53
Q8N4T0	CPA6
Q9NRF8	CTPS2
Q16773	KYAT1
Q9H792	PEAK1
Q70CQ3	USP30
Q5VTQ0	TTC39B
Q9H2A9	CHST8
Q6UXF1	TMEM108
Q93084	ATP2A3
Q96LR5	UBE2E2
P09237	MMP7
A6NM10	AQP12B
O15118	NPC1
O43781	DYRK3
Q05BV3	EML5
Q9NX55	HYPK
A0A1B0GVH7	IQCM
P22694	PRKACB
Q8N148	OR6V1
Q9UMX1	SUFU
Q5GH70	XKR9
Q8NA42	ZNF383
Q9BRC7	PLCD4
Q9H694	BICC1
Q8NF67	ANKRD20A12P
Q6RW13	AGTRAP
Q3KRB8	ARHGAP11B
Q8TC59	PIWIL2
Q96RS0	TGS1
Q4VC12	MSS51
P26378	ELAVL4
Q7L592	NDUFAF7
Q8WZ94	OR5P3
Q05639	EEF1A2
Q5T5F5	ADAMTSL4-AS1
Q96MD7	C9orf85
Q86VZ5	SGMS1
A0A087WV62	TRBV16
Q96A33	CCDC47
Q9UK17	KCND3
Q6F5E8	CARMIL2
P30462	HLA-B
P43657	LPAR6
Q5VWN6	TASOR2
Q9Y3I0	RTCB
Q9Y2I9	TBC1D30
Q92904	DAZL
P40259	CD79B
Q96CD0	FBXL8
Q8N4Q0	ZADH2
Q9P0M6	MACROH2A2
P01815	IGHV2-70
O60934	NBN
Q9NYK6	EURL
H0UI37	TSTD3
Q9ULE0	WWC3
P10644	PRKAR1A
A0A1B0GTS1	HSFX4
Q8N5J4	SPIC
Q8IYM0	FAM186B
P01024	C3
E9PAV3	NACA
Q6ZRI6	C15orf39
A0A578	TRBV5-1
Q9UNA3	A4GNT
Q8N4G2	ARL14
P21953	BCKDHB
Q15562	TEAD2
Q9H4I3	TRABD
Q8N9V3	WDSUB1
P15880	RPS2
Q9UHP9	SMPX
Q9H3T3	SEMA6B
Q4U2R6	MRPL51
Q8NGC8	OR11H7
Q9NZH8	IL36G
Q8TDV5	GPR119
Q7LBE3	SLC26A9
Q14574	DSC3
P33552	CKS2
Q9NY12	GAR1
P62424	RPL7A
Q76FK4	NOL8
Q15131	CDK10
Q9P2M1	LRP2BP
Q7Z403	TMC6
Q96GZ6	SLC41A3
P35680	HNF1B
Q01524	DEFA6
Q6DN14	MCTP1
P0CJ73	MTRNR2L6
Q969I3	GLYATL1
P01607	IGKV1D-33
Q8IZP7	HS6ST3
Q9UL17	TBX21
Q2M1K9	ZNF423
Q02040	AKAP17A
Q9Y4E5	ZNF451
Q9H172	ABCG4
Q9H9B1	EHMT1
P62879	GNB2
Q3MIP1	ITPRIPL2
Q9BT67	NDFIP1
Q96R72	OR4K3
I3L0S3	PYCARD-AS1
Q9BSK2	SLC25A33
Q5SQI0	ATAT1
Q9UBW8	COPS7A
Q6IF99	OR10K2
Q8NFQ5	BPIFB6
P51504	ZNF80
A0A0J9YXX1	IGHV5-10-1
Q9C0F0	ASXL3
Q96RD2	OR52B2
P02765	AHSG
Q6VVB1	NHLRC1
Q6UWY2	PRSS57
O15492	RGS16
Q93009	USP7
Q8N7Q3	ZNF676
Q3BBV2	NBPF8
P16157	ANK1
P07355	ANXA2
Q9Y2U2	KCNK7
P60331	KRTAP10-1
P36776	LONP1
Q6PCB8	EMB
Q8NEB9	PIK3C3
Q9NP87	POLM
Q9UEU5	GAGE2D
Q9UEU5	GAGE8
Q96JS3	PGBD1
P15421	GYPE
Q8NHA6	OR2W6P
Q9UHN1	POLG2
Q9BTK6	PAGR1
Q8NEB7	ACRBP
Q96KN7	RPGRIP1
Q8TAP8	PPP1R35
O43597	SPRY2
Q9Y4E6	WDR7
P0C841	FAM66E
Q5FWE3	PRRT3
Q8NHQ8	RASSF8
A6NDD5	SYNDIG1L
O95395	GCNT3
Q96FT9	IFT43
Q02930	CREB5
Q6ICG6	KIAA0930
Q6ZMY6	WDR88
P49802	RGS7
Q6XPR3	RPTN
B7ZW38	HNRNPCL3
Q9C0D7	ZC3H12C
Q9C0K1	SLC39A8
Q9HCG8	CWC22
P49759	CLK1
P16118	PFKFB1
Q9UIA0	CYTH4
Q9H8X2	IPPK
Q5T4D3	TMTC4
P18462	HLA-A
Q8N726	CDKN2A
Q9NZ32	ACTR10
Q7L5N1	COPS6
Q9UKK3	PARP4
Q13011	ECH1
Q8WYK0	ACOT12
P01606	IGKV1-39
Q86V24	ADIPOR2
Q9H9Q2	COPS7B
Q9H9A6	LRRC40
Q9Y5U8	MPC1
Q96SY0	INTS14
Q96CN4	EVI5L
Q8NCG7	DAGLB
P09669	COX6C
Q9Y446	PKP3
Q9UBZ9	REV1
P07550	ADRB2
Q9NRP4	SDHAF3
Q8N8R3	SLC25A29
Q8IYJ3	SYTL1
Q6P9G0	CYB5D1
A8MZ36	EVPLL
A0A0C4DH43	IGHV2-70D
O75038	PLCH2
Q8NHV5	MOSMO
Q9HC07	TMEM165
Q9NWF9	RNF216
Q9Y6C5	PTCH2
P52741	ZNF134
Q96NW4	ANKRD27
Q8NEA6	GLIS3
Q6AI12	ANKRD40
Q99679	GPR21
P16435	POR
Q9NP55	BPIFA1
Q8WWW8	GAB3
Q9BX67	JAM3
Q6IF00	OR2T2
P58546	MTPN
O14686	KMT2D
Q9NZJ7	MTCH1
Q86XA9	HEATR5A
P30041	PRDX6
Q4VC05	BCL7A
Q9Y6F6	IRAG1
Q96FE5	LINGO1
P30988	CALCR
Q5TGI4	SAMD5
O95868	LY6G6D
O95754	SEMA4F
Q969R5	L3MBTL2
Q7KZN9	COX15
O15504	NUP42
Q8TBE7	SLC35G2
Q2M3V2	SOWAHA
Q96C74	ROPN1L
Q5T9Z0	TEDDM1
P57082	TBX4
O75379	VAMP4
P13236	CCL4
Q96A58	RERG
Q86T96	RNF180
P30453	HLA-A
Q14542	SLC29A2
Q12802	AKAP13
Q96NI8	ZNF570
P35237	SERPINB6
Q9NRS6	SNX15
Q6UX46	ALKAL2
Q8WW22	DNAJA4
Q15238	PSG5
Q8N752	CSNK1A1L
P60568	IL2
Q86Y34	ADGRG3
Q8IWF6	DENND6A
P0C7V8	DCAF8L2
Q9Y2P0	ZNF835
Q92845	KIFAP3
P49407	ARRB1
O95388	CCN4
Q8NF37	LPCAT1
Q96LP2	FAM81B
Q9Y5W9	SNX11
P61201	COPS2
P56696	KCNQ4
Q5JSQ8	KHDC1L
P04040	CAT
A3QJZ7	PRAMEF27
A0A0B4J234	TRAV2
Q9NQZ3	DAZ1
Q9HB21	PLEKHA1
Q96MS0	ROBO3
P08575	PTPRC
Q96IW2	SHD
O94993	SOX30
P29375	KDM5A
Q96NR7	WWC2-AS2
Q16718	NDUFA5
P08729	KRT7
Q8NH56	OR52N5
Q16515	ASIC2
P49917	LIG4
Q8NGR4	OR5C1
Q96MC2	DRC1
O15466	ST8SIA5
Q6FIF0	ZFAND6
P03952	KLKB1
O43405	COCH
Q03828	EVX2
Q8TC56	FAM71B
A8MVA2	KRTAP9-6
Q96LL4	C8orf48
Q9NX70	MED29
Q9Y5Y5	PEX16
Q96KF2	PRAC1
O15499	GSC2
Q9BXN1	ASPN
Q6P9B9	INTS5
Q9BT88	SYT11
Q16678	CYP1B1
P0DP02	IGHV3-30-3
O60635	TSPAN1
P02656	APOC3
Q9Y586	MAB21L2
P31273	HOXC8
Q96PL2	TECTB
O00230	CORT
Q8IYD8	FANCM
P07492	GRP
O75952	CABYR
P15382	KCNE1
A8MTI9	PRSS47
Q9H2X9	SLC12A5
P0DPQ4	FAM243B
Q86WI3	NLRC5
Q9GZP0	PDGFD
P0C7X1	TBC1D3H
O75923	DYSF
P63218	GNG5
A6NNL0	NUTM2B
O14773	TPP1
Q96ME7	ZNF512
O60315	ZEB2
Q6PJP8	DCLRE1A
Q4VXA5	KHDC1
Q7Z4N2	TRPM1
Q9UGU5	HMGXB4
Q96KN3	PKNOX2
Q00266	MAT1A
Q8NFB2	TMEM185A
Q9Y2R9	MRPS7
Q86W28	NLRP8
P78348	ASIC1
O60503	ADCY9
Q8WXH6	RAB40A
H7C241	CLDN34
A0A1B0GVG4	CCDC194
O75486	SUPT3H
Q8WTV1	THAP3
Q9GZT8	NIF3L1
Q9BRP1	PDCD2L
A8MZG2	C16orf90
Q3ZCT1	ZNF260
P50213	IDH3A
Q15788	NCOA1
Q14500	KCNJ12
P42262	GRIA2
Q14833	GRM4
Q03393	PTS
P13010	XRCC5
P52594	AGFG1
Q8N2R0	OSR2
Q9NQ48	LZTFL1
O15085	ARHGEF11
Q9UBD0	HSFX1
Q9UBD0	HSFX2
Q15561	TEAD4
P13473	LAMP2
Q6ZRF8	RNF207
P41229	KDM5C
O75153	CLUH
P63261	ACTG1
Q9H9P5	UNKL
Q13395	TARBP1
Q2PZI1	DPY19L1
O15539	RGS5
Q6NXP0	EFCAB12
A6NJY1	SLC9B1P1
O43423	ANP32C
A0A0B4J264	TRAV38-1
P46597	ASMT
Q8WVJ2	NUDCD2
Q9UPU5	USP24
Q96HH4	TMEM169
P46439	GSTM5
P07288	KLK3
P48960	ADGRE5
Q00888	PSG4
Q96B23	C18orf25
O15018	PDZD2
Q8NB25	FAM184A
P25963	NFKBIA
A6NDB9	PALM3
Q9NYF8	BCLAF1
Q6IA17	SIGIRR
P25787	PSMA2
Q9NRB3	CHST12
P43235	CTSK
Q7Z601	GPR142
Q8N4H0	SPATA6L
Q9BXM9	FSD1L
Q5T2D3	OTUD3
Q499Z4	ZNF672
Q96L33	RHOV
O00442	RTCA
Q9UNA1	ARHGAP26
Q92643	PIGK
Q8NGT1	OR2K2
Q9BQP7	MGME1
Q16799	RTN1
Q9NRJ3	CCL28
P05452	CLEC3B
Q96CS3	FAF2
O15084	ANKRD28
Q13643	FHL3
Q8IVM8	SLC22A9
Q6ZT89	SLC25A48
Q9BTX7	TTPAL
Q8NA97	FER1L6-AS1
Q9HBT8	ZNF286A
Q8TEY7	USP33
P21579	SYT1
O60500	NPHS1
Q96GG9	DCUN1D1
Q9UL12	SARDH
P51160	PDE6C
Q969X1	TMBIM1
Q9UBE8	NLK
Q8N4Z0	RAB42
Q6PXP3	SLC2A7
Q02846	GUCY2D
Q5VTY9	HHAT
Q6NXT1	ANKRD54
P99999	CYCS
Q16539	MAPK14
O60936	NOL3
A8MZH6	OOSP1
P48426	PIP4K2A
Q9H503	BANF2
Q8TDU5	VN1R17P
P13498	CYBA
P43146	DCC
Q9Y3D9	MRPS23
P06888	IGLV1-51
Q9NWH9	SLTM
O00622	CCN1
Q5J8X5	MS4A13
Q02153	GUCY1B1
Q7Z7M0	MEGF8
Q9H7Z6	KAT8
Q86SJ2	AMIGO2
Q92546	RGP1
Q9UPG8	PLAGL2
P12956	XRCC6
Q9Y285	FARSA
Q96R05	RBP7
Q86VK4	ZNF410
P11049	CD37
Q8N4M7	C10orf126
P60608	ERVFC1-1
Q9H1Y3	OPN3
Q8TF63	DCANP1
P59025	RTP1
P61371	ISL1
Q6ZTW0	TPGS1
P16233	PNLIP
Q9NZG7	NINJ2
Q9Y5Z7	HCFC2
P19237	TNNI1
O43915	VEGFD
Q16842	ST3GAL2
P83369	LSM11
P47985	UQCRFS1
Q6ZTR6	ZNF516-DT
Q12841	FSTL1
Q96LR2	LURAP1
P46782	RPS5
Q92819	HAS2
Q9BZD2	SLC29A3
P23396	RPS3
P30464	HLA-B
Q14390	GGTLC2
Q5VZR4	MFSD14C
Q9H1P3	OSBPL2
Q8TDB8	SLC2A14
Q8N302	AGGF1
A6NMK8	INSYN2B
Q8N699	MYCT1
Q08AE8	SPIRE1
P26678	PLN
O14764	GABRD
Q9H0C8	ILKAP
P46952	HAAO
P15408	FOSL2
Q07020	RPL18
Q9UQQ2	SH2B3
A6NKF2	ARID3C
P15311	EZR
P15018	LIF
P54578	USP14
Q2KHT3	CLEC16A
Q01469	FABP5
P18564	ITGB6
Q9NRD5	PICK1
Q86VD1	MORC1
Q9UIR0	BTNL2
Q92834	RPGR
O00330	PDHX
A6NL99	AQP7P3
Q86YW9	MED12L
Q6PIV7	SLC25A34
Q9UKY0	PRND
Q96BV0	ZNF775
Q96AB6	NTAN1
Q15750	TAB1
P01308	INS
O96002	CXorf1
P01138	NGF
Q03518	TAP1
Q9HCK0	ZBTB26
O95201	ZNF205
Q495M9	USH1G
P62910	RPL32
Q53GQ0	HSD17B12
P18146	EGR1
Q8N0T1	RBIS
O95918	OR2H2
Q5T6V5	C9orf64
P78310	CXADR
Q5SVJ3	C1orf100
Q8WU20	FRS2
O60262	GNG7
Q9UJ99	CDH22
B1AK53	ESPN
Q9NRX3	NDUFA4L2
P09758	TACSTD2
Q9H173	SIL1
Q5U3C3	TMEM164
Q5H9B9	BMP2KL
Q13469	NFATC2
Q5QGT7	RTP2
Q96A84	EMID1
Q9H6Q3	SLA2
O95486	SEC24A
Q96SL8	FIZ1
Q9UPN7	PPP6R1
Q8NEG7	DENND6B
Q15853	USF2
Q9UP38	FZD1
Q15493	RGN
Q6ZVD7	STOX1
P55061	TMBIM6
A6NC57	ANKRD62
Q5T5A4	C1orf194
Q92530	PSMF1
Q53RD9	FBLN7
Q9UPN9	TRIM33
Q16778	H2BC21
Q99643	SDHC
O43313	ATMIN
Q6T4R5	NHS
P35612	ADD2
P05186	ALPL
Q8TF20	ZNF721
O95072	REC8
Q96HE8	TMEM80
Q8TAD2	IL17D
P82930	MRPS34
Q05209	PTPN12
Q9NQQ7	SLC35C2
Q13884	SNTB1
Q13936	CACNA1C
Q96S15	WDR24
Q8TDC3	BRSK1
Q9UKF6	CPSF3
Q9BTY7	HGH1
Q5HY92	FIGN
Q9BZA5	TXLNGY
A8MVX0	ARHGEF33
Q9NSC2	SALL1
Q16473	TNXA
A6NGZ8	SMIM9
P46977	STT3A
Q8N4B4	FBXO39
Q96LI9	CXorf58
Q9NPD3	EXOSC4
O43187	IRAK2
P40425	PBX2
P32249	GPR183
Q86YV0	RASAL3
P52737	ZNF136
Q16549	PCSK7
Q8TE96	DQX1
Q9Y3L3	SH3BP1
P49796	RGS3
P80294	MT1H
Q8N6L7	TMEM252
Q6P161	MRPL54
Q6P589	TNFAIP8L2
Q8N6R0	EEF1AKNMT
Q9BXS5	AP1M1
Q6WCQ1	MPRIP
O95157	NXPH3
P46091	GPR1
Q6NZY7	CDC42EP5
Q8NEU8	APPL2
Q9Y5A6	ZSCAN21
Q15120	PDK3
Q9HBL7	PLGRKT
Q9NPJ1	MKKS
P09960	LTA4H
Q9NYI0	PSD3
P41217	CD200
A6NCL7	ANKRD33B
Q00169	PITPNA
Q14CZ7	FASTKD3
Q6IQ16	SPOPL
P30505	HLA-C
P19447	ERCC3
Q8NGN2	OR10S1
Q13591	SEMA5A
P01135	TGFA
Q9NYJ7	DLL3
Q02487	DSC2
Q2TBF2	WSCD2
Q8IYS8	BOD1L2
Q92918	MAP4K1
Q9BQI4	CCDC3
Q32M45	ANO4
Q9Y6H8	GJA3
P16499	PDE6A
Q7Z6M1	RABEPK
Q86YH2	ZNF280B
A7KAX9	ARHGAP32
Q02221	COX6A2
Q9NZS2	KLRF1
Q8N961	ABTB2
Q9HCU9	BRMS1
P07108	DBI
Q13564	NAE1
A2IDD5	CCDC78
Q32P28	P3H1
Q3SY77	UGT3A2
P60880	SNAP25
P16989	YBX3
P0DMU7	CT45A6
O95665	NTSR2
O75678	RFPL2
P10071	GLI3
Q9Y6H1	CHCHD2
Q96C45	ULK4
O43304	SEC14L5
D6R901	USP17L21
Q86YD3	TMEM25
Q9H158	PCDHAC1
A6NM28	ZFP92
Q5VUY0	AADACL3
Q92858	ATOH1
Q6GMV3	PTRHD1
Q6ZMJ4	IL34
O00327	ARNTL
Q9UKL0	RCOR1
P34903	GABRA3
Q86VQ0	LCA5
Q5W186	CST9
Q8NBZ0	INO80E
Q9H074	PAIP1
Q99666	RGPD5
Q99666	RGPD6
Q8NAM6	ZSCAN4
Q6UWY0	ARSK
Q15910	EZH2
Q6ZS72	PEAK3
O75145	PPFIA3
Q6NUJ1	PSAPL1
Q9H3U7	SMOC2
Q6GMV1	ALG1L
P49286	MTNR1B
Q9HCL3	ZFP14
Q86WZ0	HEATR4
Q9NUI1	DECR2
Q8TC17	GRAPL
Q96HU1	SGSM3
Q9UJ68	MSRA
Q9NR45	NANS
O43609	SPRY1
Q9NP08	HMX1
Q63ZY3	KANK2
Q96JP5	ZFP91
P35544	FAU
Q9NVC6	MED17
Q9NPB8	GPCPD1
P46934	NEDD4
Q8IWB9	TEX2
P19013	KRT4
Q6ZS02	DNM1P46
Q8NGF4	OR5AP2
Q7L5A8	FA2H
P0DN80	OR5H8
P50222	MEOX2
P10606	COX5B
Q5VW22	AGAP6
F2Z3F1	C5orf67
P09651	HNRNPA1
Q9BXT4	TDRD1
Q7Z2X4	PID1
P08912	CHRM5
Q9UNH7	SNX6
C9JR72	KBTBD13
Q99747	NAPG
Q96GV9	MACIR
Q12923	PTPN13
Q99748	NRTN
Q9Y5H5	PCDHA9
Q86X83	COMMD2
Q86YT6	MIB1
Q92540	SMG7
P60953	CDC42
Q96PS6	GAFA1
Q9UL25	RAB21
Q6ZMY3	SPOCD1
Q6JQN1	ACAD10
Q70EL1	USP54
Q9HCK8	CHD8
P51811	XK
Q8IZ08	GPR135
Q9HBB8	CDHR5
P55211	CASP9
A0A0B4J1Y8	IGLV9-49
Q3KNS1	PTCHD3
A0A1B0GXF2	TRBV7-2
Q99728	BARD1
P35232	PHB
P27469	G0S2
Q9UJY4	GGA2
P43631	KIR2DS2
Q5T2W1	PDZK1
Q5JNZ3	ZNF311
Q96D21	RASD2
Q92496	CFHR4
P52926	HMGA2
P27987	ITPKB
Q9H1M3	DEFB129
Q8IWL1	SFTPA2
P55316	FOXG1
Q8TE85	GRHL3
P05166	PCCB
Q8WTQ7	GRK7
O95996	APC2
Q15723	ELF2
Q6PHR2	ULK3
Q9NX61	TMEM161A
P56704	WNT3A
Q0VDD5	MIR22HG
O00559	EBAG9
O95473	SYNGR4
Q96BS2	TESC
Q06187	BTK
Q5HYK3	COQ5
P00403	MT-CO2
Q2M3D2	EXOC3L2
Q7L0R7	RNF44
Q96S66	CLCC1
P49207	RPL34
Q9Y4L1	HYOU1
O43315	AQP9
Q9NWB7	IFT57
Q96PD4	IL17F
Q04864	REL
P50552	VASP
P49910	ZNF165
P01621	IGKV3-20
Q8TC26	TMEM163
Q9BSK0	MARVELD1
Q16663	CCL15
O60701	UGDH
P08048	ZFY
Q9BSH5	HDHD3
P82909	MRPS36
P15531	NME1
Q9NVA1	UQCC1
Q9BS86	ZPBP
Q9H963	ZNF702P
P21583	KITLG
Q9HB07	MYG1
Q9H4R4	NCOR1P1
Q5T4I8	C6orf52
Q9UDY8	MALT1
Q16878	CDO1
Q7Z3C6	ATG9A
P07954	FH
P78367	NKX3-2
Q9Y4Y9	LSM5
O43181	NDUFS4
Q7Z614	SNX20
Q9Y6M7	SLC4A7
P09172	DBH
Q9NQX7	ITM2C
Q8N3I7	BBS5
Q9Y3P4	RHBDD3
Q5XLA6	CARD17
P49790	NUP153
Q8IZD4	DCP1B
Q13268	DHRS2
Q9NR09	BIRC6
Q5HY64	FAM47C
O00590	ACKR2
F2Z398	LMO7DN
Q9UKK6	NXT1
Q9Y5Q0	FADS3
P52209	PGD
P51168	SCNN1B
A6NNN8	SLC38A8
Q9H2J7	SLC6A15
Q8N8Z6	DCBLD1
Q9C0H9	SRCIN1
Q5BJF2	TMEM97
O43427	FIBP
Q92664	GTF3A
I6L899	GOLGA8R
A6NJW4	LRRC3C
P38432	COIL
P35225	IL13
Q9ULV0	MYO5B
Q96A44	SPSB4
Q14236	DIAPH2-AS1
P82987	ADAMTSL3
Q68J44	DUPD1
P52824	DGKQ
Q9BYW2	SETD2
Q6ZN68	DPY19L2P2
Q5U5X0	LYRM7
Q8IZD9	DOCK3
Q9H9Q4	NHEJ1
Q9Y6A9	SPCS1
P01178	OXT
Q92966	SNAPC3
A0A0B4J271	TRAV12-3
O75382	TRIM3
P0DP04	IGHV3-43D
Q96RE7	NACC1
Q8WWG9	KCNE4
Q9BQ90	KLHDC3
P63127	ERVK-9
P60411	KRTAP10-9
P55209	NAP1L1
Q9Y4C5	CHST2
Q9GZM6	OR8D2
Q10981	FUT2
Q86UD7	TBC1D26
Q86WK6	AMIGO1
Q15369	ELOC
Q6UX06	OLFM4
Q9NWW5	CLN6
P25103	TACR1
P61353	RPL27
P0DP42	TMEM225B
O75132	ZBED4
Q6UXV0	GFRAL
Q06481	APLP2
Q9UQB9	AURKC
Q9UK13	ZNF221
P16473	TSHR
Q6P2S7	TTC41P
Q658P3	STEAP3
Q9H5Z1	DHX35
P14868	DARS1
Q13542	EIF4EBP2
P08397	HMBS
P78414	IRX1
H3BRN8	C15orf65
Q9HDC5	JPH1
Q6IED9	DGAT2L7P
P48454	PPP3CC
Q16671	AMHR2
P0C7X3	CCNYL3
Q15612	OR1Q1
Q9NZK5	ADA2
P40426	PBX3
Q86Z23	C1QL4
Q15149	PLEC
Q8IU99	CALHM1
Q68D85	NCR3LG1
P51665	PSMD7
Q8NGB6	OR4M2
Q9H0U6	MRPL18
Q8WVM7	STAG1
O60384	ZNF861P
P15056	BRAF
Q8TBZ0	CCDC110
Q30167	HLA-DRB1
Q9NPG1	FZD3
P47898	HTR5A
Q96NB2	SFXN2
Q6IWH7	ANO7
P18509	ADCYAP1
Q8N336	ELMOD1
Q9BTF0	THUMPD2
P63146	UBE2B
Q92870	APBB2
P33402	GUCY1A2
Q96A08	H2BC1
Q92917	GPKOW
Q6P474	PDXDC2P
A6NDS4	TBC1D3B
Q9UJ04	TSPYL4
Q92890	UFD1
Q8WW36	ZCCHC13
Q9Y458	TBX22
P50914	RPL14
Q8WUD1	RAB2B
P01569	IFNA5
Q96G91	P2RY11
Q9BT09	CNPY3
Q8NAJ2	C9orf106
P12035	KRT3
Q9UKL4	GJD2
Q9H6R3	ACSS3
Q902F9	HERVK_113
Q8TF65	GIPC2
Q6NUI2	GPAT2
Q8NGS4	OR13F1
Q86XK7	VSIG1
Q14693	LPIN1
P10242	MYB
Q9HB15	KCNK12
Q96J94	PIWIL1
P02100	HBE1
Q8NGC7	OR11H6
Q5VY43	PEAR1
Q8N4H5	TOMM5
P35754	GLRX
O75343	GUCY1B2
Q9NPF7	IL23A
Q9UHK6	AMACR
E9PJI5	NPIPA7
P20472	PVALB
Q9Y3M2	CBY1
O15537	RS1
Q8TD26	CHD6
Q96T92	INSM2
Q8N3V7	SYNPO
Q8WVP5	TNFAIP8L1
Q8IYY4	DZIP1L
P61254	RPL26
P15538	CYP11B1
P05413	FABP3
P37108	SRP14
Q9NR83	SLC2A4RG
Q9BQE5	APOL2
Q9UJ83	HACL1
P49703	ARL4D
O95239	KIF4A
Q8IUB9	KRTAP19-1
P04206	IGKV3-20
Q6UWQ5	LYZL1
Q8N831	TSPYL6
Q06190	PPP2R3A
Q9NNX6	CD209
Q13976	PRKG1
Q9UHP6	RSPH14
F7VJQ1	PRNP
Q15915	ZIC1
P41238	APOBEC1
O43916	CHST1
Q9Y6D0	SELENOK
P43116	PTGER2
Q9ULD8	KCNH3
A8MU93	C17orf100
Q5TAA0	TTC22
Q96KN2	CNDP1
P35789	ZNF93
Q9H0H3	KLHL25
P63000	RAC1
Q8N5A5	ZGPAT
P17707	AMD1
Q9NP72	RAB18
Q96CW9	NTNG2
Q6IEY1	OR4F16
Q6IEY1	OR4F29
Q6IEY1	OR4F3
Q96BR1	SGK3
P20783	NTF3
Q9NQ32	C11orf16
P09105	HBQ1
Q9NVX7	KBTBD4
Q9UJA3	MCM8
O75056	SDC3
O95466	FMNL1
Q9NQ38	SPINK5
Q9HD15	SRA1
P31946	YWHAB
Q5T4F4	ZFYVE27
Q9Y222	DMTF1
O00311	CDC7
O15479	MAGEB2
Q6UW02	CYP20A1
Q13233	MAP3K1
P26599	PTBP1
Q9NP84	TNFRSF12A
Q53GA4	PHLDA2
Q5JTW2	CEP78
Q8NCC3	PLA2G15
Q7LBR1	CHMP1B
Q9Y2I1	NISCH
O75949	FAM155B
P18135	IGKV3-20
C9JVI0	USP17L11
Q9UGI6	KCNN3
P08476	INHBA
Q13253	NOG
Q9H974	QTRT2
Q969S9	GFM2
Q8IWP9	CCDC28A
Q8NI08	NCOA7
O75582	RPS6KA5
P22748	CA4
O00421	CCRL2
Q5SQH8	C6orf136
P10144	GZMB
Q16558	KCNMB1
P34949	MPI
Q9UQ13	SHOC2
Q9BXF9	TEKT3
P49411	TUFM
P32418	SLC8A1
Q13442	PDAP1
Q9P2D8	UNC79
Q96AG4	LRRC59
Q16696	CYP2A13
Q5JSJ4	INTS6L
A2RRD8	ZNF320
Q3SXR2	C3orf36
P31025	LCN1
Q15486	GUSBP1
Q9UI15	TAGLN3
Q96FC9	DDX11
Q6ZSZ6	TSHZ1
Q96TA2	YME1L1
Q9NP66	HMG20A
Q8NHS1	CLDND2
Q8NDY3	ADPRHL1
Q6UVW9	CLEC2A
P55056	APOC4
Q9UMD9	COL17A1
P11216	PYGB
Q9H2Y7	ZNF106
P51654	GPC3
Q13164	MAPK7
Q15415	RBMY1F
Q15415	RBMY1J
Q9Y5Z0	BACE2
P52179	MYOM1
P20265	POU3F2
O43310	CTIF
O75027	ABCB7
Q15542	TAF5
Q9BV94	EDEM2
O00232	PSMD12
Q8IWN7	RP1L1
Q8TCW9	PROKR1
P09565	GIG44
Q5T319	FAM182B
Q96CS4	ZNF689
Q02083	NAAA
Q9H4B0	OSGEPL1
P78332	RBM6
P24588	AKAP5
Q5XKL5	BTBD8
Q99463	NPY6R
A4IF30	SLC35F4
Q15427	SF3B4
Q9BSL1	UBAC1
Q4G0A6	MINDY4
Q16478	GRIK5
Q8TDI8	TMC1
Q5HYN5	CT45A1
Q9H2F9	CCDC68
Q58FG1	HSP90AA4P
Q9UHW9	SLC12A6
Q9NUR3	TMEM74B
Q6F5E7	TXNRD3NB
Q9NZD8	SPG21
Q8IWK6	ADGRA3
Q15459	SF3A1
Q8TEY5	CREB3L4
Q86SG4	HMGN2P46
Q9H095	IQCG
P08708	RPS17
A2A368	MAGEB16
Q8NH92	OR1S1
Q6PEW0	PRSS54
Q9NQ88	TIGAR
Q7Z5H4	VN1R5
A6NCS6	C2orf72
O75928	PIAS2
Q7Z4K8	TRIM46
C9J2P7	USP17L15
P26232	CTNNA2
Q13508	ART3
Q96LR4	TAFA4
P61160	ACTR2
Q06136	KDSR
Q8TEB7	RNF128
